DW_DATE_KEY|DW_BUDGET_SBU_KEY|DW_BUDGET_ITEM_KEY|BUDGET_AMT|ACTUAL_AMT|VARIANCE
20121130|70|2|437750000|558088264.98|-120338264.98
20121130|71|1|1269000000|395222253.36|873777746.64
20121130|71|2|317250000|44677468.73|272572531.27
20121130|72|1|1049000000|256977290.87|792022709.13
20121130|72|2|262250000|10297165.46|251952834.54
20121130|73|1|1317000000|653292349.26|663707650.74
20121130|73|2|329250000|54426230.02|274823769.98
20121130|74|1|1231000000|369115601.09|861884398.91
20121130|74|2|307750000|237282604.44|70467395.56
20121130|75|1|1913000000|839646831.89|1073353168.11
20121130|75|2|478250000|395517709.87|82732290.13
20121130|76|1|1403000000|444008790.56|958991209.44
20121130|76|2|350750000|87480693.02|263269306.98
20121130|77|1|1690000000|724985531.03|965014468.97
20121130|77|2|422500000|303305391.85|119194608.15
20121130|78|1|1759000000|824223315.41|934776684.59
20121130|78|2|439750000|229315858.63|210434141.37
20121130|79|1|2237000000|396305328.71|1840694671.29
20121130|79|2|559250000|197810962.27|361439037.73
20121130|80|1|1626000000|696079099.7|929920900.3
20121130|80|2|406500000|44108978.94|362391021.06
20121130|81|1|4275000000|1212088109.84|3062911890.16
20121130|81|2|1068750000|399225082.27|669524917.73
20121130|82|1|3197000000|1250901496.68|1946098503.32
20121130|82|2|799250000|1248084631.42|-448834631.42
20121130|83|1|2682000000|6485.23|2681993514.77
20121130|83|2|670500000|0|670500000
20121130|84|1|3179000000|849299631.12|2329700368.88
20121130|84|2|794750000|110115141.81|684634858.19
20121130|85|1|2884000000|9299502.77|2874700497.23
20121130|85|2|721000000|0|721000000
20121130|86|1|2820000000|736215271.6|2083784728.4
20121130|86|2|705000000|319490791.73|385509208.27
20121231|140|1|1301000000|461357872.64|839642127.36
20121231|140|2|260200000|6068614.49|254131385.51
20121231|141|1|1008000000|442383139.53|565616860.47
20121231|141|2|201600000|70503000.08|131096999.92
20121231|142|1|1502000000|0|1502000000
20121231|142|2|300400000|0|300400000
20121231|143|1|1524000000|877375034.91|646624965.09
20121231|143|2|304800000|45071667.56|259728332.44
20121231|144|1|1511000000|764535086.82|746464913.18
20121231|144|2|302200000|7339380.17|294860619.83
20121231|145|1|1365000000|500192385.42|864807614.58
20121231|145|2|273000000|49196177.17|223803822.83
20121231|146|1|1300000000|534321657.72|765678342.28
20121231|146|2|260000000|342584145.46|-82584145.46
20121231|147|1|800000000|446872730.86|353127269.14
20121231|147|2|160000000|34575289.93|125424710.07
20121231|148|1|1651790000|10156.04|1651779843.96
20121231|148|2|330358000|0|330358000
20121231|149|1|1600000000|375451293.41|1224548706.59
20121231|149|2|320000000|37373871.88|282626128.12
20121231|150|1|1000000000|411534045.9|588465954.1
20121231|150|2|200000000|16294476.84|183705523.16
20121231|151|1|1870000000|1214969557.57|655030442.43
20121231|151|2|374000000|208399039.13|165600960.87
20121231|152|1|2000000000|1241475091.62|758524908.38
20121231|152|2|500000000|198019951.82|301980048.18
20121231|153|1|2700000000|714771979.23|1985228020.77
20121231|153|2|675000000|100761758.39|574238241.61
20121231|154|1|1527000000|973561811.21|553438188.79
20121231|154|2|381750000|5884.65|381744115.35
20121231|155|1|1232000000|543534865.77|688465134.23
20121130|20|2|322000000|10234389.7|311765610.3
20120731|53|1|1151000000|630213671.21|520786328.79
20120731|53|2|287750000|28452019.69|259297980.31
20120731|54|1|960000000|216740409.66|743259590.34
20120731|54|2|240000000|27520852.16|212479147.84
20120731|55|1|1365000000|575893301.91|789106698.09
