DW_DATE_KEY|D_TRANSACTION_TYPE_KEY|DW_ACCOUNT_TYPE_KEY|AMOUNT
20121015|5|234|1311078.59
20121015|4|229|7694649.11
20121015|5|282|8556139.34
20121015|2|85|8536416.63
20121015|5|237|50.03
20121015|5|292|906.45
20121015|2|337|50.02
20121015|5|11|26500
20121015|2|258|516893349.86
20121015|5|224|429390
20121015|2|236|28506001.13
20121015|2|88|19723.11
20121015|5|95|922131.15
20121015|2|124|40094376.91
20121015|2|345|24050
20121015|2|235|21164.24
20121015|5|383|8000000
20121015|2|118|90437.37
20121015|5|303|3299161.22
20121015|5|291|4201.17
20121015|5|104|34026086.96
20121015|1|227|600
20121015|5|342|387768.99
20121015|2|125|11706857156.26
20121015|5|79|9300998.53
20121015|5|307|258447.8
20121015|2|8|1919474326.04
20121015|3|6|438209196.65
20121015|2|228|263258.31
20121015|2|87|518437.85
20121015|5|316|9923839.25
20121015|5|250|12436531.55
20121015|5|286|788251.37
20121015|2|9|18201220
20121015|5|258|302027929.88
20121015|5|264|494738587.14
20121015|2|12|85603.47
20121015|3|255|406948719.19
20121015|2|86|7248065.24
20121015|2|330|956586.98
20121015|5|239|307377.05
20121015|2|10|157820
20121015|5|10|6997000
20121015|2|362|431827.5
20121015|6|260|8210237.28
20121015|1|2|55954000
20121015|5|311|372603.2
20121015|5|328|7847.46
20121015|4|2|8529500
20121015|5|85|32145200
20121015|3|8|21799027.35
20121015|1|228|17991.86
20121015|2|383|1697746113.54
20121015|5|312|85244.24
20121015|2|313|159000
20121015|2|106|798101.01
20121015|5|293|834822.32
20121015|2|338|4.23
20121015|5|321|12000
20121015|5|283|9158.06
20121015|2|105|3559335.68
20121015|5|215|700000000
20121015|1|229|1403197.13
20121015|2|93|56.79
20121015|2|131|598800
20121015|2|342|3538219.15
20121015|2|79|131.6
20121015|5|308|34286
20121015|5|111|3594379.46
20121015|2|354|864213.66
20121015|2|356|301805
20121015|5|6|1710483205.95
20121015|5|227|464070192.43
20121015|5|281|3128073.76
20121015|2|250|77616887.78
20121015|5|261|1469533907.98
20121015|5|14|11392735.54
20121015|2|328|1316046.59
20121015|4|316|5129.66
20121015|4|258|449943639.69
20121015|2|329|58040.14
20121015|5|124|40506826.23
20121015|2|2|11939000
20121015|1|264|180923000
20121015|5|354|10900
20121015|5|358|4600
20121015|5|345|3000
20121015|5|118|4479519.12
20121015|5|288|56.79
20121015|5|94|1518.76
20121015|2|113|4410000
20121015|5|384|343000
20121015|2|229|95684451.88
20121015|5|309|1029125.03
20121015|2|316|616064.2
20121015|2|224|8680826.17
20121015|2|255|59514774.25
20121015|5|97|4301946.73
20121015|2|97|788251.37
20121015|1|261|2015585
20121015|2|282|185572.52
20121015|1|111|36365
20121015|5|330|7007.33
20121015|2||1293078417
20121015|5||1188439765.4
20121015|5|120|96948019.85
20121015|5|213|1000000000
20121015|5|93|725.17
20121015|4|126|86950
20121015|5|83|260174.46
20121015|2|94|906.62
20121016|5|250|31054109.59
20121016|5|309|1650157.7
20121016|4|1|7434448080.16
20121016|5|2|77356555
20121016|5|281|3097986.65
20121016|1|258|933391872.6
20121016|6|6|1200000
20121016|2|12|80770.91
20121016|2|329|61226.1
20121016|5|313|9658237
20121016|5|229|88419181.56
20121016|2|235|10518.33
20121016|2|345|19600
20121016|2|237|0.14
20121016|2|106|559847.21
20121016|2|293|785.3
20121016|5|283|9158.07
20121016|2|120|46953986.21
20121016|2|23|700000000
20121016|2|213|1000000000
20121016|2|234|2956.67
20121016|5|79|4326790.66
20121016|2|1|111273623.04
20121016|5|235|61226.1
20121016|5|237|48.5
20121016|5|115|239189694.01
20121016|5|258|946310121.52
20121016|5|260|28665269272.5
20121016|2|264|1040081799.14
20121016|2|86|7388279.14
20121016|5|97|1017759.57
20121016|2|88|24602.77
20121016|2|347|964162.21
20121016|2|228|133533.25
20121016|5|7|20295885854.81
20121016|5|12|396.09
20121016|1|115|300000
20121016|2|381|49000
20121016|2|215|700000000
20121016|5|294|41458297.78
20121016|2|353|86840
20121016|5|227|275310306.71
20121016|2|282|5972.11
20121016|5|311|29287.81
20121016|2|85|7345422.07
20121016|2|261|1259428424.41
20121016|2|362|774060.8
20121016|2|224|497357.35
20121016|2|240|229508.2
20121016|5|88|7449.3
20121016|6|229|3504008.99
20121016|6|261|31574900.29
20121016|1|111|147080
20121016|5|356|800
20121016|5|354|3411.67
20121016|5|312|32712.56
20121016|2|115|299159159.69
20121016|2|118|20716.7
20121016|5|321|10700
20121016|2|122|1852126
20121016|2|94|585.14
20121016|5||1138135174.14
20121016|2||1029586937.42
20121016|5|83|260174.46
20121016|5|120|54323870.99
20121016|2|125|11564835686.84
20121016|5|125|11564835686.84
20121016|2|18|3500000000
20121016|2|356|286600
20121016|5|6|817351270.5
20121016|2|316|1612924.88
20121016|5|85|1053227.25
20121016|5|292|584.97
20121016|5|255|286597262.38
20121016|2|14|106475
20121016|4|264|343387620
20121016|2|124|61681016.3
20121016|2|236|6973199
20121016|2|253|35853
20121016|2|13|313555.64
20121016|2|10|98820
20121016|5|328|1152.64
20121016|6|260|712070.47
20121016|2|313|54000
20121016|4|124|50000
20121016|5|126|172900
20121016|5|314|367000
20121016|5|122|1615795.2
20121016|5|238|4.2
20121016|5|291|4299.19
20121016|5|18|3100000000
20121016|5|234|1295342.03
20121016|2|111|4208306.6
20121016|2|351|114210.15
20121016|5|228|2561342.87
20121016|2|309|22762.24
20121016|5|9|8560080.47
20121016|3|255|196958171.34
20121016|6|258|62294.48
20121016|2|6|800877385.06
20121016|5|224|1655501.92
20121016|2|333|15985549.35
20121016|1|261|4827025
20121016|2|358|2334545.43
20121016|5|124|40094376.91
20121016|5|362|3411.67
20121016|5|330|139491.77
20121016|4|111|5000
20121016|5|293|559847.21
20121016|2|105|3559335.68
20121016|2|91|9158.07
20121016|2|93|32.01
20121016|5|106|177230.36
20121016|5|247|547.81
20121016|2|363|49297.5
20121016|5|23|2450000000
20121016|2|8|1699842655.09
20121016|1|1|7598792249.72
